placekey,year,month,home_cbg,visitors
222-222@8gd-kdb-7kf,2019,3,450130011013,8
222-222@8gd-kdb-7kf,2019,3,450130003001,9
222-222@8gd-kdb-7kf,2019,3,450130007005,9
222-222@8gd-kdb-7kf,2019,3,450130001003,10
222-222@8gd-kdb-7kf,2019,3,450130001001,10
222-222@8gd-kdb-7kf,2019,3,450130011011,10
222-222@8gd-kdb-7kf,2019,3,450130003003,11
222-222@8gd-kdb-7kf,2019,3,450130011022,11
222-222@8gd-kdb-7kf,2019,3,450539501001,11
222-222@8gd-kdb-7kf,2019,3,450130005012,11
222-222@8gd-kdb-7kf,2019,3,450130008004,11
222-222@8gd-kdb-7kf,2019,3,450130021041,11
222-222@8gd-kdb-7kf,2019,3,450130011023,12
222-222@8gd-kdb-7kf,2019,3,450130007002,12
222-222@8gd-kdb-7kf,2019,3,450130021032,12
222-222@8gd-kdb-7kf,2019,3,450130022021,12
222-222@8gd-kdb-7kf,2019,3,450130003002,13
222-222@8gd-kdb-7kf,2019,3,450130010002,13
222-222@8gd-kdb-7kf,2019,3,450130006002,13
222-222@8gd-kdb-7kf,2019,3,450539502012,13
222-222@8gd-kdb-7kf,2019,3,450130005033,15
222-222@8gd-kdb-7kf,2019,3,450130008002,15
222-222@8gd-kdb-7kf,2019,3,450130007001,16
222-222@8gd-kdb-7kf,2019,3,450130021021,16
222-222@8gd-kdb-7kf,2019,3,450130009023,17
222-222@8gd-kdb-7kf,2019,3,450130009031,18
222-222@8gd-kdb-7kf,2019,3,450130008001,19
222-222@8gd-kdb-7kf,2019,3,450130005022,19
222-222@8gd-kdb-7kf,2019,3,450130011012,20
222-222@8gd-kdb-7kf,2019,3,450130007006,20
222-222@8gd-kdb-7kf,2019,3,450130002001,21
222-222@8gd-kdb-7kf,2019,3,450130011021,21
222-222@8gd-kdb-7kf,2019,3,450130002003,23
222-222@8gd-kdb-7kf,2019,3,450130005013,26
222-222@8gd-kdb-7kf,2019,3,450130009021,27
222-222@8gd-kdb-7kf,2019,3,450130009011,27
222-222@8gd-kdb-7kf,2019,3,450130005011,30
222-222@8gd-kdb-7kf,2019,3,450130005031,31
222-222@8gd-kdb-7kf,2019,3,450130005021,35
222-222@8gd-kdb-7kf,2019,3,450130007004,37
222-222@8gd-kdb-7kf,2019,3,450130009022,37
222-222@8gd-kdb-7kf,2019,4,450539501002,4
222-222@8gd-kdb-7kf,2019,4,450350105052,4
222-222@8gd-kdb-7kf,2019,4,450130021062,4
222-222@8gd-kdb-7kf,2019,4,131030303031,4
222-222@8gd-kdb-7kf,2019,4,511970502002,4
222-222@8gd-kdb-7kf,2019,4,450130022013,4
222-222@8gd-kdb-7kf,2019,4,450130021053,4
222-222@8gd-kdb-7kf,2019,4,450150204031,4
222-222@8gd-kdb-7kf,2019,4,450190053002,4
222-222@8gd-kdb-7kf,2019,4,450059704002,4
222-222@8gd-kdb-7kf,2019,4,450190032001,4
222-222@8gd-kdb-7kf,2019,4,130510114001,4
222-222@8gd-kdb-7kf,2019,4,450499204002,4
222-222@8gd-kdb-7kf,2019,4,120310165003,4
222-222@8gd-kdb-7kf,2019,4,450499203002,4
222-222@8gd-kdb-7kf,2019,4,450479704004,4
222-222@8gd-kdb-7kf,2019,4,450130021052,4
222-222@8gd-kdb-7kf,2019,4,130299201012,4
222-222@8gd-kdb-7kf,2019,4,450130010001,4
222-222@8gd-kdb-7kf,2019,4,450150207152,4
222-222@8gd-kdb-7kf,2019,4,130510108084,4
222-222@8gd-kdb-7kf,2019,4,450299704021,4
222-222@8gd-kdb-7kf,2019,4,450130021032,4
222-222@8gd-kdb-7kf,2019,4,240317014072,4
222-222@8gd-kdb-7kf,2019,4,450539502022,4
222-222@8gd-kdb-7kf,2019,4,120310159231,4
222-222@8gd-kdb-7kf,2019,4,450130021042,4
222-222@8gd-kdb-7kf,2019,4,450190047021,4
222-222@8gd-kdb-7kf,2019,4,450539502011,4
222-222@8gd-kdb-7kf,2019,4,450130104003,4
222-222@8gd-kdb-7kf,2019,4,371819610001,4
222-222@8gd-kdb-7kf,2019,4,450150207131,4
222-222@8gd-kdb-7kf,2019,4,450450019002,4
222-222@8gd-kdb-7kf,2019,4,450130106002,4
222-222@8gd-kdb-7kf,2019,4,450130105001,4
222-222@8gd-kdb-7kf,2019,4,450130007003,4
222-222@8gd-kdb-7kf,2019,4,450130021021,4
222-222@8gd-kdb-7kf,2019,4,371259505022,4
222-222@8gd-kdb-7kf,2019,4,370510025012,4
222-222@8gd-kdb-7kf,2019,4,131270005012,4
222-222@8gd-kdb-7kf,2019,4,130510107001,4
222-222@8gd-kdb-7kf,2019,4,450499205001,4
222-222@8gd-kdb-7kf,2019,4,450130105002,4
222-222@8gd-kdb-7kf,2019,4,450130021071,4
222-222@8gd-kdb-7kf,2019,4,450510504011,4
222-222@8gd-kdb-7kf,2019,4,450130001001,4
222-222@8gd-kdb-7kf,2019,4,450030213004,4
222-222@8gd-kdb-7kf,2019,4,450499202005,4
222-222@8gd-kdb-7kf,2019,4,450030217002,4
222-222@8gd-kdb-7kf,2019,4,450299706004,4
222-222@8gd-kdb-7kf,2019,4,450190002001,4
222-222@8gd-kdb-7kf,2019,4,450539501003,4
222-222@8gd-kdb-7kf,2019,4,130510110052,4
222-222@8gd-kdb-7kf,2019,4,450130103002,4
222-222@8gd-kdb-7kf,2019,4,450630212051,4
222-222@8gd-kdb-7kf,2019,4,130390106012,4
222-222@8gd-kdb-7kf,2019,4,450130021031,4
222-222@8gd-kdb-7kf,2019,4,450130021082,4
222-222@8gd-kdb-7kf,2019,4,450299708002,4
222-222@8gd-kdb-7kf,2019,4,450130021073,4
222-222@8gd-kdb-7kf,2019,4,450539502021,4
222-222@8gd-kdb-7kf,2019,4,450499202003,4
222-222@8gd-kdb-7kf,2019,4,130311106013,4
222-222@8gd-kdb-7kf,2019,4,121170220053,4
222-222@8gd-kdb-7kf,2019,4,450130004001,4
222-222@8gd-kdb-7kf,2019,4,120850011031,4
222-222@8gd-kdb-7kf,2019,4,450130011013,4
222-222@8gd-kdb-7kf,2019,4,450299702001,4
222-222@8gd-kdb-7kf,2019,4,483671407061,4
222-222@8gd-kdb-7kf,2019,4,450299702002,4
222-222@8gd-kdb-7kf,2019,4,450130022011,5
222-222@8gd-kdb-7kf,2019,4,130510043001,5
222-222@8gd-kdb-7kf,2019,4,450499201001,5
222-222@8gd-kdb-7kf,2019,4,450539502023,5
222-222@8gd-kdb-7kf,2019,4,130890215033,5
222-222@8gd-kdb-7kf,2019,4,131210055021,5
222-222@8gd-kdb-7kf,2019,4,450299703004,6
222-222@8gd-kdb-7kf,2019,4,450130003003,6
222-222@8gd-kdb-7kf,2019,4,450539501004,6
222-222@8gd-kdb-7kf,2019,4,450130002002,7
222-222@8gd-kdb-7kf,2019,4,450130012001,7
222-222@8gd-kdb-7kf,2019,4,450130011023,8
222-222@8gd-kdb-7kf,2019,4,450130022012,8
222-222@8gd-kdb-7kf,2019,4,450130008003,8
222-222@8gd-kdb-7kf,2019,4,450499202002,8
222-222@8gd-kdb-7kf,2019,4,450130005032,9
222-222@8gd-kdb-7kf,2019,4,450130010002,9
222-222@8gd-kdb-7kf,2019,4,450130001002,9
222-222@8gd-kdb-7kf,2019,4,450499203001,9
222-222@8gd-kdb-7kf,2019,4,450539502012,10
222-222@8gd-kdb-7kf,2019,4,450130011022,10
222-222@8gd-kdb-7kf,2019,4,450130008002,10
222-222@8gd-kdb-7kf,2019,4,450130003002,11
222-222@8gd-kdb-7kf,2019,4,450130001003,11
222-222@8gd-kdb-7kf,2019,4,450130006001,12
222-222@8gd-kdb-7kf,2019,4,450130008001,12
222-222@8gd-kdb-7kf,2019,4,450130007002,12
222-222@8gd-kdb-7kf,2019,4,450130011011,13
222-222@8gd-kdb-7kf,2019,4,450130021041,13
222-222@8gd-kdb-7kf,2019,4,450130022021,14
222-222@8gd-kdb-7kf,2019,4,450130011012,14
222-222@8gd-kdb-7kf,2019,4,450539501001,14
222-222@8gd-kdb-7kf,2019,4,450130003001,15
222-222@8gd-kdb-7kf,2019,4,450130005012,16
222-222@8gd-kdb-7kf,2019,4,450130007005,16
222-222@8gd-kdb-7kf,2019,4,450130007001,16
222-222@8gd-kdb-7kf,2019,4,450130009023,17
222-222@8gd-kdb-7kf,2019,4,450130011021,18
222-222@8gd-kdb-7kf,2019,4,450130007006,20
222-222@8gd-kdb-7kf,2019,4,450130005022,21
222-222@8gd-kdb-7kf,2019,4,450130005031,23
222-222@8gd-kdb-7kf,2019,4,450130006002,24
222-222@8gd-kdb-7kf,2019,4,450130002003,24
222-222@8gd-kdb-7kf,2019,4,450130005033,26
222-222@8gd-kdb-7kf,2019,4,450130008004,27
222-222@8gd-kdb-7kf,2019,4,450130005013,28
222-222@8gd-kdb-7kf,2019,4,450130002001,28
222-222@8gd-kdb-7kf,2019,4,450130005011,29
222-222@8gd-kdb-7kf,2019,4,450130009031,30
222-222@8gd-kdb-7kf,2019,4,450130009011,34
222-222@8gd-kdb-7kf,2019,4,450130009021,36
222-222@8gd-kdb-7kf,2019,4,450130009022,40
222-222@8gd-kdb-7kf,2019,4,450130005021,40
222-222@8gd-kdb-7kf,2019,4,450130007004,42
222-222@8gd-kdb-7kf,2019,5,450299704021,4
